UNIVERSITY_ID;FACULTY_NAME;DEPARTMENT_ID;YEAR_ID;UNIVERSITY_NAME;UNIVERSITY_TYPE;DEPARTMENT_NAME;SCORE_TYPE;SCHOLARSHIP_TYPE;GENERAL_CAPACITY;SCHOOL_CAPACITY;GENERAL_ENROLLMENT;SCHOOL_ENROLLMENT;SUM_CAPACITY;SUM_ENROLLMENT;FIELD_RATE;LAST_SCORE;LAST_RANK;FIRST_SCORE;FIRST_RANK
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100110221;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Uluslararasý Ýliþkiler;EA;Ücretsiz;80;2;81;1;82;82;100,00%;260,88969;503.783;300,71142;288.752
1001;Mühendislik Fakültesi;100110239;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Gýda Mühendisliði;SAY;Ücretsiz;60;2;62;---;62;62;100,00%;287,40242;287.851;319,87125;210.338
1001;Týp Fakültesi;100110257;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Týp;SAY;Ücretsiz;160;4;160;4;164;164;100,00%;501,07403;15.036;520,76383;5.459
1001;Mühendislik Fakültesi;100110399;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Makine Mühendisliði;SAY;Ücretsiz;60;2;62;---;62;62;100,00%;333,63747;184.894;361,92407;142.673
1001;Mimarlýk Fakültesi;100110406;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Mimarlýk;SAY;Ücretsiz;80;2;81;1;82;82;100,00%;354,06545;153.223;402,78039;97.000
1001;Mühendislik Fakültesi;100110415;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Elektrik-Elektronik Mühendisliði;SAY;Ücretsiz;70;2;71;1;72;72;100,00%;364,04702;139.904;401,18575;98.518
1001;Diþ Hekimliði Fakültesi;100110433;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Diþ Hekimliði;SAY;Ücretsiz;90;3;90;3;93;93;100,00%;481,47237;28.666;490,48942;22.060
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100110451;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Maliye;EA;Ücretsiz;60;2;62;---;62;62;100,00%;266,61311;465.784;319,43123;219.062
1001;Ýlahiyat Fakültesi;100110478;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýlahiyat;SÖZ;Ücretsiz;120;3;120;3;123;123;100,00%;335,29684;95.521;446,5445;1.898
1001;Ziraat Fakültesi;100110503;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Tarla Bitkileri;SAY;Ücretsiz;30;1;31;---;31;31;100,00%;240,02737;476.817;286,05611;291.730
1001;Ziraat Fakültesi;100110618;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Bitki Koruma;SAY;Ücretsiz;40;1;41;---;41;41;100,00%;266,3029;356.498;319,68068;210.718
1001;Ziraat Fakültesi;100110627;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Kanatlý Hayvan Yetiþtiriciliði;SAY;Ücretsiz;15;1;16;---;16;16;100,00%;220,02148;618.046;265,54776;359.281
1001;Ýletiþim Fakültesi;100110636;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Gazetecilik;SÖZ;Ücretsiz;80;2;82;---;82;82;100,00%;269,03443;378.412;306,38397;188.518
1001;Mühendislik Fakültesi;100110645;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Bilgisayar Mühendisliði;SAY;Ücretsiz;70;2;70;2;72;72;100,00%;407,26369;92.684;426,51082;75.087
1001;Gerede Uygulamalý Bilimler Fakültesi;100110654;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Pazarlama (Fakülte);EA;Ücretsiz;25;1;26;---;26;26;100,00%;211,53369;956.216;235,1707;710.726
1001;Gerede Uygulamalý Bilimler Fakültesi;100110663;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Uluslararasý Ticaret ve Lojistik (Fakülte);EA;Ücretsiz;60;2;62;---;62;62;100,00%;239,78439;668.822;289,38942;339.551
1001;Eðitim Fakültesi;100110672;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Özel Eðitim Öðretmenliði;SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;398,96843;12.799;424,86347;4.448
1001;Ziraat Fakültesi;100110681;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Bahçe Bitkileri;SAY;Ücretsiz;15;1;16;---;16;16;100,00%;248,63492;432.091;260,27081;380.145
1001;Ziraat Fakültesi;100110699;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Kanatlý Hayvan Yetiþtiriciliði (KKTC Uyruklu);SAY;Ücretsiz;1;---;---;---;1;---;---;---;---;---;---
1001;Ýletiþim Fakültesi;100110706;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Halkla Ýliþkiler ve Tanýtým;SÖZ;Ücretsiz;60;2;62;---;62;62;100,00%;295,20174;237.174;437,91352;2.618
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100130137;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Kamu Yönetimi (ÝÖ);EA;ÝÖ-Ücretli;50;2;52;---;52;52;100,00%;230,78191;753.804;281,7282;377.874
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100130146;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Uluslararasý Ýliþkiler (ÝÖ);EA;ÝÖ-Ücretli;40;1;41;---;41;41;100,00%;234,0908;720.947;262,89324;490.232
1001;Fen-Edebiyat Fakültesi;100130155;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Sosyoloji (ÝÖ);EA;ÝÖ-Ücretli;40;1;41;---;41;41;100,00%;237,15867;692.495;254,37937;550.052
1001;Fen-Edebiyat Fakültesi;100130164;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Tarih (ÝÖ);SÖZ;ÝÖ-Ücretli;40;1;41;---;41;41;100,00%;256,31233;460.085;290,80818;258.142
1001;Fen-Edebiyat Fakültesi;100130173;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Türk Dili ve Edebiyatý (ÝÖ);SÖZ;ÝÖ-Ücretli;40;1;41;---;41;41;100,00%;276,44088;334.754;340,5532;83.230
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100130191;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Maliye (ÝÖ);EA;ÝÖ-Ücretli;50;2;52;---;52;52;100,00%;236,21116;701.051;264,22432;481.234
1001;Ýlahiyat Fakültesi;100130225;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýlahiyat (ÝÖ);SÖZ;ÝÖ-Ücretli;100;3;103;---;103;103;100,00%;303,19906;201.488;352,2335;60.534
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100190116;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýktisat (KKTC Uyruklu);EA;Ücretsiz;2;---;2;---;2;2;100,00%;223,05868;838.011;243,08302;640.191
1001;Ýletiþim Fakültesi;100190120;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Radyo, Televizyon ve Sinema;SÖZ;Ücretsiz;70;2;71;1;72;72;100,00%;293,9542;243.040;347,48714;69.001
1001;Ziraat Fakültesi;100190121;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Tohum Bilimi ve Teknolojisi;SAY;Ücretsiz;15;1;16;---;16;16;100,00%;222,83138;594.512;236,29434;498.128
1001;Ýletiþim Fakültesi;100190148;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Gazetecilik (ÝÖ);SÖZ;ÝÖ-Ücretli;50;2;52;---;52;52;100,00%;252,58461;485.659;285,58353;284.711
1001;Ýletiþim Fakültesi;100190149;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Halkla Ýliþkiler ve Tanýtým (ÝÖ);SÖZ;ÝÖ-Ücretli;50;2;52;---;52;52;100,00%;264,48728;406.688;381,40733;24.323
1001;Turizm Fakültesi;100190151;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Turizm Rehberliði (Fakülte);DÝL;Ücretsiz;40;1;41;---;41;41;100,00%;304,21303;44.303;391,38968;18.084
1001;Saðlýk Bilimleri Fakültesi;100190153;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Hemþirelik (Fakülte);SAY;Ücretsiz;160;4;160;4;164;164;100,00%;347,32246;162.846;425,65083;75.814
1001;Turizm Fakültesi;100190154;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Gastronomi ve Mutfak Sanatlarý (Fakülte);SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;359,85957;48.318;446,86621;1.875
1001;Turizm Fakültesi;100190155;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Turizm Ýþletmeciliði (Fakülte);EA;Ücretsiz;30;1;31;---;31;31;100,00%;221,6005;855.168;253,87425;553.800
1001;Saðlýk Bilimleri Fakültesi;100190156;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Fizyoterapi ve Rehabilitasyon (Fakülte);SAY;Ücretsiz;90;3;90;3;93;93;100,00%;319,39325;211.279;404,19278;95.621
1001;Mühendislik Fakültesi;100190170;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýnþaat Mühendisliði;SAY;Ücretsiz;40;1;29;---;41;29;70,70%;283,51504;299.091;334,42681;183.507
1001;Gerede Uygulamalý Bilimler Fakültesi;100190171;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Finans ve Bankacýlýk (Fakülte);EA;Ücretsiz;70;2;72;---;72;72;100,00%;235,04926;711.807;283,52149;368.518
1001;Yabancý Diller Yüksekokulu;100190172;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýngilizce Mütercim ve Tercümanlýk (Yüksekokul);DÝL;Ücretsiz;40;1;40;1;41;41;100,00%;394,47554;17.230;411,35339;12.822
1002;Eðitim Fakültesi;100210017;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Fen Bilgisi Öðretmenliði;SAY;Ücretsiz;30;1;31;---;31;31;100,00%;299,72904;255.118;347,87384;161.977
1002;Eðitim Fakültesi;100210026;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ýlköðretim Matematik Öðretmenliði;SAY;Ücretsiz;50;2;50;2;52;52;100,00%;416,4461;84.098;470,96143;36.953
1002;Eðitim Fakültesi;100210035;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Sýnýf Öðretmenliði;EA;Ücretsiz;60;2;61;1;62;62;100,00%;353,24709;124.817;407,12301;27.956
1002;Eðitim Fakültesi;100210044;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Sosyal Bilgiler Öðretmenliði;SÖZ;Ücretsiz;50;2;52;---;52;52;100,00%;350,80883;62.907;392,09239;16.665
1002;Fen-Edebiyat Fakültesi;100210053;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Matematik;SAY;Ücretsiz;40;1;41;---;41;41;100,00%;268,51253;348.269;385,53939;114.586
1002;Fen-Edebiyat Fakültesi;100210062;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Türk Dili ve Edebiyatý;SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;286,08291;282.043;410,54899;8.034
1002;Saðlýk Bilimleri Fakültesi;100210071;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ebelik (Fakülte);SAY;Ücretsiz;60;2;60;2;62;62;100,00%;314,09182;222.092;383,5785;116.756
1002;Saðlýk Bilimleri Fakültesi;100210089;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Hemþirelik (Fakülte);SAY;Ücretsiz;100;3;100;3;103;103;100,00%;351,20476;157.194;474,9071;33.830
1002;Eðitim Fakültesi;100210098;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Okul Öncesi Öðretmenliði;SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;384,32731;21.981;421,48287;5.102
1002;Eðitim Fakültesi;100210105;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Rehberlik ve Psikolojik Danýþmanlýk;EA;Ücretsiz;70;2;71;1;72;72;100,00%;350,51509;131.308;389,32006;51.833
1002;Eðitim Fakültesi;100210114;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Türkçe Öðretmenliði;SÖZ;Ücretsiz;50;2;50;2;52;52;100,00%;376,69754;28.429;452,58527;1.524
1002;Fen-Edebiyat Fakültesi;100210132;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Sanat Tarihi;SÖZ;Ücretsiz;50;2;52;---;52;52;100,00%;224,33075;699.286;379,74482;25.716
1002;Fen-Edebiyat Fakültesi;100210141;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Sosyoloji;EA;Ücretsiz;60;2;62;---;62;62;100,00%;223,94954;827.602;329,38751;187.745
1002;Týp Fakültesi;100210168;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Týp;SAY;Ücretsiz;140;4;140;4;144;144;100,00%;491,99655;21.011;505,16748;12.618
1002;Fen-Edebiyat Fakültesi;100210177;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Biyoloji;SAY;Ücretsiz;20;1;21;---;21;21;100,00%;244,03465;455.267;270,3618;341.644
1002;Fen-Edebiyat Fakültesi;100210186;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Tarih;SÖZ;Ücretsiz;70;2;71;1;72;72;100,00%;255,07105;468.523;387,10892;19.929
1002;Ýktisadi ve Ýdari Bilimler Fakültesi;100210195;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ýktisat;EA;Ücretsiz;40;1;41;---;41;41;100,00%;209,55456;967.799;298,97251;296.156
1002;Ýktisadi ve Ýdari Bilimler Fakültesi;100210202;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ýþletme;EA;Ücretsiz;30;1;31;---;31;31;100,00%;217,03388;907.608;310,3494;250.947
1002;Ýktisadi ve Ýdari Bilimler Fakültesi;100210211;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Kamu Yönetimi;EA;Ücretsiz;60;2;62;---;62;62;100,00%;221,87077;851.999;321,028;213.809
1002;Eðitim Fakültesi;100210283;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Arapça Öðretmenliði;DÝL;Ücretsiz;60;2;62;---;62;62;100,00%;313,01622;41.511;421,78701;10.414
1002;Mühendislik Fakültesi;100210308;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ýnþaat Mühendisliði;SAY;Ücretsiz;40;1;15;---;41;15;36,60%;284,35906;296.621;443,91014;59.898
1002;Fen-Edebiyat Fakültesi;100210317;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Arkeoloji;EA;Ücretsiz;30;1;27;---;31;27;87,10%;191,13557;997.898;307,24941;262.635
1002;Mühendislik Fakültesi;100210326;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Elektrik-Elektronik Mühendisliði;SAY;Ücretsiz;40;1;11;---;41;11;26,80%;289,48328;282.035;366,51285;136.707
1002;Mühendislik Fakültesi;100210335;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Makine Mühendisliði;SAY;Ücretsiz;25;1;4;---;26;4;15,40%;291,46724;276.620;365,5724;137.926
1002;Eczacýlýk Fakültesi;100210353;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Eczacýlýk;SAY;Ücretsiz;80;2;80;2;82;82;100,00%;460,31017;45.674;473,76823;34.690
1002;Diþ Hekimliði Fakültesi;100210362;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Diþ Hekimliði;SAY;Ücretsiz;80;2;80;2;82;82;100,00%;475,70925;33.190;489,20466;22.941
1002;Ýslami Ýlimler Fakültesi;100210371;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ýslami Ýlimler;SÖZ;Ücretsiz;90;3;91;2;93;93;100,00%;315,74024;153.447;373,21526;31.873
1002;Tarým Bilimleri ve Teknolojileri Fakültesi;100210398;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ziraat Mühendisliði Programlarý;SAY;Ücretsiz;30;1;30;1;31;31;100,00%;259,67018;382.599;365,19006;138.416
1002;Fen-Edebiyat Fakültesi;100290057;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ýngiliz Dili ve Edebiyatý (Ýngilizce);DÝL;Ücretsiz;60;2;62;---;62;62;100,00%;332,1622;35.555;455,83833;4.942
1002;Ýktisadi ve Ýdari Bilimler Fakültesi;100290058;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Ýþletme;EA;Ücretsiz;30;1;31;---;31;31;100,00%;238,65307;678.996;331,05402;182.876
1002;Turizm Fakültesi;100290059;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Turizm Rehberliði (Fakülte);DÝL;Ücretsiz;40;1;41;---;41;41;100,00%;243,30393;65.662;316,46968;40.440
1002;Mühendislik Fakültesi;100290060;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Tekstil Mühendisliði;SAY;Ücretsiz;20;1;5;---;21;5;23,80%;286,11288;291.569;459,12756;46.698
1002;Eðitim Fakültesi;100290069;20;ADIYAMAN ÜNÝVERSÝTESÝ ;Devlet;Özel Eðitim Öðretmenliði;SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;400,08871;12.297;432,70698;3.254
1003;Eðitim Fakültesi;100310016;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Fen Bilgisi Öðretmenliði;SAY;Ücretsiz;35;1;36;---;36;36;100,00%;309,19426;232.686;325,03756;200.278
1003;Eðitim Fakültesi;100310025;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Okul Öncesi Öðretmenliði;SÖZ;Ücretsiz;70;2;70;2;72;72;100,00%;385,66559;20.943;395,90162;14.405
1003;Eðitim Fakültesi;100310034;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Sýnýf Öðretmenliði;EA;Ücretsiz;60;2;60;2;62;62;100,00%;364,74728;98.944;390,93625;49.355
1003;Eðitim Fakültesi;100310043;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Sosyal Bilgiler Öðretmenliði;SÖZ;Ücretsiz;60;2;62;---;62;62;100,00%;356,15404;54.040;383,69249;22.475
1003;Fen-Edebiyat Fakültesi;100310052;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Arkeoloji;EA;Ücretsiz;40;1;41;---;41;41;100,00%;223,35746;834.434;280,43539;384.855
1003;Fen-Edebiyat Fakültesi;100310061;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Biyoloji;SAY;Ücretsiz;30;1;31;---;31;31;100,00%;263,27003;368.252;330,19299;190.832
1003;Fen-Edebiyat Fakültesi;100310079;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Felsefe;EA;Ücretsiz;50;2;52;---;52;52;100,00%;235,78056;704.923;348,94935;135.038
1003;Fen-Edebiyat Fakültesi;100310088;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Fizik;SAY;Ücretsiz;20;1;21;---;21;21;100,00%;246,11113;444.668;272,93539;332.551
1003;Fen-Edebiyat Fakültesi;100310097;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Fransýz Dili ve Edebiyatý (Fransýzca);DÝL;Ücretsiz;60;2;62;---;62;62;100,00%;298,6433;46.119;364,99513;25.567
1003;Fen-Edebiyat Fakültesi;100310104;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Kimya;SAY;Ücretsiz;20;1;21;---;21;21;100,00%;267,2961;352.767;286,38408;290.769
1003;Fen-Edebiyat Fakültesi;100310113;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Matematik;SAY;Ücretsiz;60;2;62;---;62;62;100,00%;279,32649;311.893;334,69023;183.054
1003;Fen-Edebiyat Fakültesi;100310122;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Sosyoloji;EA;Ücretsiz;70;2;72;---;72;72;100,00%;262,37316;493.679;371,48582;84.973
1003;Fen-Edebiyat Fakültesi;100310131;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Tarih;SÖZ;Ücretsiz;70;2;72;---;72;72;100,00%;293,47095;245.295;379,49116;25.935
1003;Fen-Edebiyat Fakültesi;100310149;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Türk Dili ve Edebiyatý;SÖZ;Ücretsiz;70;2;70;2;72;72;100,00%;316,04908;152.384;348,66409;66.841
1003;Týp Fakültesi;100310158;20;AYDIN ADNAN MENDERES ÜNÝVERSÝTESÝ ;Devlet;Týp;SAY;Ücretsiz;230;6;230;6;236;236;100,00%;503,64478;13.509;522,29568;4.958
